rssi_timestamp,entry_type,image_filename,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,images_processed,successful_images,ransac_population,is_ransac_excluded,image_timestamp
1762307594428,IMAGE,image_0041_1762307594178.matphoto,38,1.2746895014915889,21.278673492157587,1.4202880842008512,,,false,1,3,3,,false,1.762307594178E12
1762307594428,IMAGE,image_0041_1762307594178.matphoto,8,1.2988954590745707,21.3095982967783,1.42644510540714,,,false,1,3,3,,false,1.762307594178E12
1762307594428,IMAGE,image_0041_1762307594178.matphoto,32,1.2834545948836282,21.235667713659986,1.3963743483487958,,,false,1,3,3,,false,1.762307594178E12
1762307594428,IMAGE,image_0041_1762307594178.matphoto,29,1.29916382520137,21.258775659119053,1.3932623313296926,,,false,1,3,3,,false,1.762307594178E12
1762307594428,IMAGE,image_0041_1762307594178.matphoto,5,1.3164787318758342,21.270168996673206,1.411702068589132,,,false,1,3,3,,false,1.762307594178E12
1762307594428,IMAGE,image_0041_1762307594178.matphoto,1,1.2633984566565895,21.20608093247415,1.4442984308876803,,,false,1,3,3,,false,1.762307594178E12
1762307594454,GLOBAL,,-1,1.286804966258626,21.278673492157587,1.417931050939648,0.2,WEIGHTED_MEDIAN,true,20,4,4,13,false,
1762307594454,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,4,4,,false,1.76230759444E12
1762307594454,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,4,4,,false,1.76230759444E12
1762307594454,IMAGE,image_0039_1762307593642.matphoto,38,1.2366254791774434,21.67901992484149,1.4159705075930704,,,false,1,4,4,,true,1.762307593642E12
1762307594454,IMAGE,image_0039_1762307593642.matphoto,8,1.2634212735960333,21.72082976656284,1.4208443661045007,,,false,1,4,4,,true,1.762307593642E12
1762307594454,IMAGE,image_0039_1762307593642.matphoto,32,1.2526706545230664,21.67821871326248,1.3796609333154062,,,false,1,4,4,,true,1.762307593642E12
1762307594454,IMAGE,image_0039_1762307593642.matphoto,29,1.2468928232255243,21.654396947386996,1.3916786812210242,,,false,1,4,4,,true,1.762307593642E12
1762307594454,IMAGE,image_0039_1762307593642.matphoto,5,1.2134534742369718,21.716201573809464,1.3799560969036508,,,false,1,4,4,,true,1.762307593642E12
1762307594454,IMAGE,image_0039_1762307593642.matphoto,1,1.1961699224078006,21.650743543722758,1.4091105570066926,,,false,1,4,4,,true,1.762307593642E12
1762307594454,IMAGE,image_0040_1762307593904.matphoto,38,1.256060010120613,21.43293748591757,1.4183064584847025,,,false,1,4,4,,false,1.762307593904E12
1762307594454,IMAGE,image_0040_1762307593904.matphoto,8,1.286804966258626,21.46709779516558,1.42200403102109,,,false,1,4,4,,false,1.762307593904E12
1762307594454,IMAGE,image_0040_1762307593904.matphoto,32,1.275810435368695,21.452320541782633,1.3829220160137121,,,false,1,4,4,,false,1.762307593904E12
1762307594454,IMAGE,image_0040_1762307593904.matphoto,29,1.2788202375182947,21.397336736602075,1.3960614480561575,,,false,1,4,4,,false,1.762307593904E12
1762307594454,IMAGE,image_0040_1762307593904.matphoto,5,1.2413342905057125,21.50013314853426,1.4041467246003903,,,false,1,4,4,,true,1.762307593904E12
1762307594454,IMAGE,image_0040_1762307593904.matphoto,1,1.1751123126919527,21.356155063882646,1.5067458399521978,,,false,1,4,4,,false,1.762307593904E12
1762307594454,IMAGE,image_0041_1762307594178.matphoto,38,1.2746895014915889,21.278673492157587,1.4202880842008512,,,false,1,4,4,,false,1.762307594178E12
1762307594454,IMAGE,image_0041_1762307594178.matphoto,8,1.2988954590745707,21.3095982967783,1.42644510540714,,,false,1,4,4,,false,1.762307594178E12
1762307594454,IMAGE,image_0041_1762307594178.matphoto,32,1.2834545948836282,21.235667713659986,1.3963743483487958,,,false,1,4,4,,false,1.762307594178E12
1762307594454,IMAGE,image_0041_1762307594178.matphoto,29,1.29916382520137,21.258775659119053,1.3932623313296926,,,false,1,4,4,,false,1.762307594178E12
1762307594454,IMAGE,image_0041_1762307594178.matphoto,5,1.3164787318758342,21.270168996673206,1.411702068589132,,,false,1,4,4,,false,1.762307594178E12
1762307594454,IMAGE,image_0041_1762307594178.matphoto,1,1.2633984566565895,21.20608093247415,1.4442984308876803,,,false,1,4,4,,false,1.762307594178E12
1762307594651,GLOBAL,,-1,1.286804966258626,21.278673492157587,1.417931050939648,0.2,WEIGHTED_MEDIAN,true,14,3,3,13,false,
1762307594651,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,3,3,,false,1.76230759444E12
1762307594651,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,3,3,,false,1.76230759444E12
1762307594651,IMAGE,image_0040_1762307593904.matphoto,38,1.256060010120613,21.43293748591757,1.4183064584847025,,,false,1,3,3,,false,1.762307593904E12
1762307594651,IMAGE,image_0040_1762307593904.matphoto,8,1.286804966258626,21.46709779516558,1.42200403102109,,,false,1,3,3,,false,1.762307593904E12
1762307594651,IMAGE,image_0040_1762307593904.matphoto,32,1.275810435368695,21.452320541782633,1.3829220160137121,,,false,1,3,3,,false,1.762307593904E12
1762307594651,IMAGE,image_0040_1762307593904.matphoto,29,1.2788202375182947,21.397336736602075,1.3960614480561575,,,false,1,3,3,,false,1.762307593904E12
1762307594651,IMAGE,image_0040_1762307593904.matphoto,5,1.2413342905057125,21.50013314853426,1.4041467246003903,,,false,1,3,3,,true,1.762307593904E12
1762307594651,IMAGE,image_0040_1762307593904.matphoto,1,1.1751123126919527,21.356155063882646,1.5067458399521978,,,false,1,3,3,,false,1.762307593904E12
1762307594651,IMAGE,image_0041_1762307594178.matphoto,38,1.2746895014915889,21.278673492157587,1.4202880842008512,,,false,1,3,3,,false,1.762307594178E12
1762307594651,IMAGE,image_0041_1762307594178.matphoto,8,1.2988954590745707,21.3095982967783,1.42644510540714,,,false,1,3,3,,false,1.762307594178E12
1762307594651,IMAGE,image_0041_1762307594178.matphoto,32,1.2834545948836282,21.235667713659986,1.3963743483487958,,,false,1,3,3,,false,1.762307594178E12
1762307594651,IMAGE,image_0041_1762307594178.matphoto,29,1.29916382520137,21.258775659119053,1.3932623313296926,,,false,1,3,3,,false,1.762307594178E12
1762307594651,IMAGE,image_0041_1762307594178.matphoto,5,1.3164787318758342,21.270168996673206,1.411702068589132,,,false,1,3,3,,false,1.762307594178E12
1762307594651,IMAGE,image_0041_1762307594178.matphoto,1,1.2633984566565895,21.20608093247415,1.4442984308876803,,,false,1,3,3,,false,1.762307594178E12
1762307594748,GLOBAL,,-1,1.286804966258626,21.278673492157587,1.417931050939648,0.2,WEIGHTED_MEDIAN,true,19,4,4,13,false,
1762307594748,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,4,4,,false,1.76230759444E12
1762307594748,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,4,4,,false,1.76230759444E12
1762307594748,IMAGE,image_0040_1762307593904.matphoto,38,1.256060010120613,21.43293748591757,1.4183064584847025,,,false,1,4,4,,false,1.762307593904E12
1762307594748,IMAGE,image_0040_1762307593904.matphoto,8,1.286804966258626,21.46709779516558,1.42200403102109,,,false,1,4,4,,false,1.762307593904E12
1762307594748,IMAGE,image_0040_1762307593904.matphoto,32,1.275810435368695,21.452320541782633,1.3829220160137121,,,false,1,4,4,,false,1.762307593904E12
1762307594748,IMAGE,image_0040_1762307593904.matphoto,29,1.2788202375182947,21.397336736602075,1.3960614480561575,,,false,1,4,4,,false,1.762307593904E12
1762307594748,IMAGE,image_0040_1762307593904.matphoto,5,1.2413342905057125,21.50013314853426,1.4041467246003903,,,false,1,4,4,,true,1.762307593904E12
1762307594748,IMAGE,image_0040_1762307593904.matphoto,1,1.1751123126919527,21.356155063882646,1.5067458399521978,,,false,1,4,4,,false,1.762307593904E12
1762307594748,IMAGE,image_0041_1762307594178.matphoto,38,1.2746895014915889,21.278673492157587,1.4202880842008512,,,false,1,4,4,,false,1.762307594178E12
1762307594748,IMAGE,image_0041_1762307594178.matphoto,8,1.2988954590745707,21.3095982967783,1.42644510540714,,,false,1,4,4,,false,1.762307594178E12
1762307594748,IMAGE,image_0041_1762307594178.matphoto,32,1.2834545948836282,21.235667713659986,1.3963743483487958,,,false,1,4,4,,false,1.762307594178E12
1762307594748,IMAGE,image_0041_1762307594178.matphoto,29,1.29916382520137,21.258775659119053,1.3932623313296926,,,false,1,4,4,,false,1.762307594178E12
